tax:product_type,sku,post_title,post_status,visibility,tax_status,tax_class,stock_status,backorders,weight,length,width,height,regular_price,tax:product_cat,tax:product_shipping_class,parent_sku,upsell_skus,crosssell_skus,menu_order,Attribute 1 Name,Attribute 1 Value(s),Attribute 1 Data,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value(s),Attribute 2 Data,Attribute 2 Global,Attribute 3 Name,Attribute 3 Value(s),Attribute 3 Data,Attribute 3 Global,Attribute 4 Name,Attribute 4 Value(s),Attribute 4 Data,Attribute 4 Global,Attribute 5 Name,Attribute 5 Value(s),Attribute 5 Data,Attribute 5 Global
variation,TT-15-YEOXTR-360ML,,publish,hidden,taxable,,outofstock,,0.96,,,,1890.00,,,TT-15-YEOXTR,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,360 ml,0|1|1,0,,,,
variable,TT-15-YEOXTR,Yellow Oxide Transparent,publish,visible,taxable,,,,,,,,,Óleos Profesionales > Amarillos > Óxidos - Ochres - Siennas y Tierras,,,,,,,,,,,,,,,,,,,,,,,,,
variation,TT-16-COBRE-1KG,,publish,hidden,taxable,,outofstock,,1.00,,,,11435.00,,,TT-16-COBRE,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-16-COBRE-110ML,,publish,hidden,taxable,,outofstock,,0.27,,,,745.00,,,TT-16-COBRE,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,110 ml,0|1|1,0,,,,
variation,TT-16-COBRE-25ML,,publish,hidden,taxable,,instock,,0.06,,,,230.00,,,TT-16-COBRE,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,25 ml,0|1|1,0,,,,
variation,TT-16-COBRE-360ML,,publish,hidden,taxable,,outofstock,,0.90,,,,2180.00,,,TT-16-COBRE,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,360 ml,0|1|1,0,,,,
variable,TT-16-COBRE,Cobre,publish,visible,taxable,,,,,,,,,Óleos Profesionales > Metálicos,,,,,,,,,,,,,,,,,,,,,,,,,
variation,TT-16-OROFUE-1KG,,publish,hidden,taxable,,outofstock,,1.00,,,,11505.00,,,TT-16-OROFUE,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-16-OROFUE-110ML,,publish,hidden,taxable,,outofstock,,0.27,,,,750.00,,,TT-16-OROFUE,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,110 ml,0|1|1,0,,,,
variation,TT-16-OROFUE-25ML,,publish,hidden,taxable,,instock,,0.06,,,,230.00,,,TT-16-OROFUE,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,25 ml,0|1|1,0,,,,
variation,TT-16-OROFUE-360ML,,publish,hidden,taxable,,outofstock,,0.90,,,,2195.00,,,TT-16-OROFUE,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,360 ml,0|1|1,0,,,,
variable,TT-16-OROFUE,Oro Fuego,publish,visible,taxable,,,,,,,,,Óleos Profesionales > Metálicos,,,,,,,,,,,,,,,,,,,,,,,,,
variation,TT-16-OROLAV-1KG,,publish,hidden,taxable,,outofstock,,1.00,,,,11505.00,,,TT-16-OROLAV,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-16-OROLAV-110ML,,publish,hidden,taxable,,outofstock,,0.27,,,,750.00,,,TT-16-OROLAV,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,110 ml,0|1|1,0,,,,
variation,TT-16-OROLAV-25ML,,publish,hidden,taxable,,instock,,0.06,,,,230.00,,,TT-16-OROLAV,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,25 ml,0|1|1,0,,,,
variation,TT-16-OROLAV-360ML,,publish,hidden,taxable,,outofstock,,0.90,,,,2195.00,,,TT-16-OROLAV,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,360 ml,0|1|1,0,,,,
variable,TT-16-OROLAV,Oro Lavanda,publish,visible,taxable,,,,,,,,,Óleos Profesionales > Metálicos,,,,,,,,,,,,,,,,,,,,,,,,,
variation,TT-16-ORLIRE-1KG,,publish,hidden,taxable,,outofstock,,1.00,,,,11505.00,,,TT-16-ORLIRE,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-16-ORLIRE-110ML,,publish,hidden,taxable,,outofstock,,0.27,,,,750.00,,,TT-16-ORLIRE,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,110 ml,0|1|1,0,,,,
variation,TT-16-ORLIRE-25ML,,publish,hidden,taxable,,instock,,0.06,,,,230.00,,,TT-16-ORLIRE,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,25 ml,0|1|1,0,,,,
variation,TT-16-ORLIRE-360ML,,publish,hidden,taxable,,outofstock,,0.90,,,,2195.00,,,TT-16-ORLIRE,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,360 ml,0|1|1,0,,,,
variable,TT-16-ORLIRE,Oro Limón Real,publish,visible,taxable,,,,,,,,,Óleos Profesionales > Metálicos,,,,,,,,,,,,,,,,,,,,,,,,,
variation,TT-16-OROMAN-1KG,,publish,hidden,taxable,,outofstock,,1.00,,,,11505.00,,,TT-16-OROMAN,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-16-OROMAN-110ML,,publish,hidden,taxable,,outofstock,,0.27,,,,750.00,,,TT-16-OROMAN,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,110 ml,0|1|1,0,,,,
variation,TT-16-OROMAN-25ML,,publish,hidden,taxable,,instock,,0.06,,,,230.00,,,TT-16-OROMAN,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,25 ml,0|1|1,0,,,,
variation,TT-16-OROMAN-360ML,,publish,hidden,taxable,,outofstock,,0.90,,,,2195.00,,,TT-16-OROMAN,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,360 ml,0|1|1,0,,,,
variable,TT-16-OROMAN,Oro Mandarina,publish,visible,taxable,,,,,,,,,Óleos Profesionales > Metálicos,,,,,,,,,,,,,,,,,,,,,,,,,
variation,TT-16-OROPAL-1KG,,publish,hidden,taxable,,outofstock,,1.00,,,,13210.00,,,TT-16-OROPAL,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-16-OROPAL-110ML,,publish,hidden,taxable,,outofstock,,0.27,,,,860.00,,,TT-16-OROPAL,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,110 ml,0|1|1,0,,,,
variation,TT-16-OROPAL-25ML,,publish,hidden,taxable,,instock,,0.06,,,,255.00,,,TT-16-OROPAL,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,25 ml,0|1|1,0,,,,
variation,TT-16-OROPAL-360ML,,publish,hidden,taxable,,outofstock,,0.90,,,,2510.00,,,TT-16-OROPAL,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,360 ml,0|1|1,0,,,,
variable,TT-16-OROPAL,Oro Pálido,publish,visible,taxable,,,,,,,,,Óleos Profesionales > Metálicos,,,,,,,,,,,,,,,,,,,,,,,,,
variation,TT-16-ORORIC-1KG,,publish,hidden,taxable,,outofstock,,1.00,,,,13210.00,,,TT-16-ORORIC,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-16-ORORIC-110ML,,publish,hidden,taxable,,outofstock,,0.27,,,,860.00,,,TT-16-ORORIC,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,110 ml,0|1|1,0,,,,
variation,TT-16-ORORIC-25ML,,publish,hidden,taxable,,instock,,0.06,,,,255.00,,,TT-16-ORORIC,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,25 ml,0|1|1,0,,,,
